#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
126,P,,,Pichelsberg,,1911-09-05,1928-08-23,,,,,,,1980-09-18,,1998-01-16,,,,Spandauer Vorortbahn,,,Pich,,BPIC,52.50995,13.22877
127,P,,,Plänterwald,,1956-06-03,1956-06-03,,,,,,,,,,,,,Görlitzer Bahn,,,Pw,,BPWA,52.47879,13.47361
128,P,Karl-Maron-Straße,,Poelchaustraße,,1979-09-28,1979-09-28,,,,,,,,,,,,,Wriezener Bahn,,,Km,,BPOE,52.53581,13.53554
129,P,Potsdam,Potsdam Stadt,Potsdam Hauptbahnhof,,1838-09-21,1928-06-11,,,,,,1961-10-09,,,,1992-04-01,,,Berlin-Potsdamer Eisenbahn,,,Pd,,BPDH,52.39168,13.06678
130,P,,,Potsdamer Platz,,1939-04-15,1939-04-15,,,,,,1961-08-13,1984-01-09,,1984-05-01,1992-03-01,,,Nordsüd-S-Bahntunnel,,,Pou,,BPOP,52.51039,13.37652
131,P,,,Prenzlauer Allee,,1892-05-01,1929-02-01,,,,,,,,,,,,,Ringbahn,,,Pre,,BPLA,52.54472,13.42677
132,P,,,Priesterweg,,1928-10-07,1929-07-02,1928-10-07,,,,,,,,,,,,Anhalter Bahn,Dresdener Bahn,,PrS,Pr,BPRS,52.45942,13.35605
133,R,,,Rahnsdorf,,1879-05-15,1928-06-11,,,,,,,1945-04-01,,1948-09-01,,,,Schlesischen Bahn,,,Rd,,BRD,52.45176,13.69138
134,R,,,Rangsdorf,,1875-06-17,1940-10-06,,,,,,,1961-09-12,,,,,,Dresdener Bahn,,,Rsf,,,52.29404,13.43105
135,R,Bruno-Leuschner-Straße,,Raoul-Wallenberg-Straße,,1980-12-15,1980-12-15,,,,,,,,,,,,,Wriezener Bahn,,,Bl,,BRW,52.55087,13.54762
136,R,Steglitz,,Rathaus Steglitz,,1839-06-13,1933-05-15,,,,,,,1980-09-18,,1985-05-01,,,,Wannseebahn,,,Stz,,BRST,52.45577,13.32268
137,R,Kietz-Rummelsburg,,Rummelsburg,,1882-01-01,1928-06-11,,,,,,,1945-04-01,,1948-01-05,,,,Schlesischen Bahn,,,Rg,,BRH,52.50196,13.47852
138,R,,,Röntgental,,1903-05-01,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Rön,,BRGT,52.64948,13.51428
139,S,,,Savignyplatz,,1896-08-01,1928-06-11,,,,,,,,,,,,,Stadtbahn,,,Sap,,BSAP,52.50531,13.31891
140,S,,,Schichauweg,,1990-12-01,1990-12-01,,,,,,,,,,,,,Dresdener Bahn,,,Sc,,BSC,52.39865,13.38929
141,S,,,Schlachtensee,,1874-06-01,1933-05-15,,,,,,,1980-09-18,,1985-02-01,,,,Wannseebahn,,,Sts,,BSLS,52.44010,13.21486
142,S,Schulzendorf-Heiligensee,,Schulzendorf,,1893-10-01,1927-03-16,,,,,,,1984-01-09,,1998-12-25,,,,Kremmener Bahn,,,Szf,,BSZF,52.61385,13.24560
143,S,,,Schöneberg (Ringbahn),,1933-03-01,1933-03-01,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Sgr,Sg,BSGRR,52.47925,13.35144
144,S,,,Schöneberg (Vorortbahn),,1933-03-01,1933-05-15,,,,,,,1980-09-18,,1985-02-01,,,,Wannseebahn,,,Sgv,Sg,BSGRV,52.47948,13.35208
145,S,Neuer Krug,,Schöneweide,,1868-05-23,1928-11-06,,,,,,,,,,,,,Görlitzer Bahn,,,Swp,Sw,BSW,52.45589,13.50983
146,S,,,Schönfließ,1953-05-01,1953-10-04,1961-11-19,,,,,,,,,,,,,Außenring,,,Sfl,,BSNF,52.66484,13.33998
147,S,,,Schönhauser Allee,,1879-08-01,1929-02-01,,,,,,,,,,,,,Ringbahn,,,Sal,,BSAL,52.54944,13.41368
148,S,Reinickendorf,Schönholz-Reinickendorf,Schönholz,,1877-07-10,1925-06-05,,,,,,,1984-01-09,,1984-10-01,,,,Nordbahn,,,Snl,,BSNH,52.57161,13.38096
149,S,,,Siemensstadt,,1929-12-18,1929-12-18,,,,,,,1980-09-18,,,,,,Siemensbahn,,,Ss,,,52.53928,13.26366
150,S,Fürstenbrunn,,Siemensstadt-Fürstenbrunn,,1905-06-01,1951-08-28,,,,,,,1980-09-18,,,,,,Lehrter Bahn,,,Füb,,,52.52780,13.26975
151,S,Kaiser-Friedrich-Straße,,Sonnenallee,,1912-10-01,1928-11-06,,,,,,,1980-09-18,,1997-12-18,,,,Ringbahn,,,So,,BSO,52.47287,13.45516
152,S,Spandau Vorortbahnhof,Spandau West,Spandau,,1910-07-15,1928-08-23,,,,,,,1980-09-19,,1998-12-30,,,,Spandauer Vorortbahn,Hamburger Bahn,,BSPD,Spw,BSPA,52.53475,13.19782
